card_name,quantity,id,rarity,set_sym,premium
Sea Scryer,1,7279,Common,MI,No
Sealed Fate,1,7281,Uncommon,MI,No
Sewer Rats,6,7291,Common,MI,No
Shaper Guildmage,4,7299,Common,MI,No
Skulking Ghost,1,7311,Common,MI,No
Soul Rend,1,7319,Uncommon,MI,No
Spectral Guardian,1,7325,Rare,MI,No
Spitting Earth,1,7329,Common,MI,No
Stalking Tiger,1,7331,Common,MI,No
Subterranean Spirit,1,7337,Rare,MI,No
Suq'Ata Firewalker,1,7343,Uncommon,MI,No
Teferi's Curse,1,7361,Common,MI,No
Teferi's Drake,1,7363,Common,MI,No
Teremko Griffin,2,7375,Common,MI,No
Tropical Storm,1,7387,Uncommon,MI,No
Urborg Panther,1,7403,Common,MI,No
Ventifact Bottle,2,7407,Rare,MI,No
Viashino Warrior,1,7409,Common,MI,No
Vigilant Martyr,1,7411,Uncommon,MI,No
Village Elder,2,7413,Common,MI,No
Volcanic Geyser,1,7419,Uncommon,MI,No
Wall of Corpses,2,7423,Common,MI,No
Wall of Resistance,2,7425,Common,MI,No
Withering Boon,1,7443,Uncommon,MI,No
Zebra Unicorn,1,7449,Uncommon,MI,No
Zhalfirin Commander,1,7451,Uncommon,MI,No
Zhalfirin Knight,1,7453,Common,MI,No
"Zuberi, Golden Feather",1,7459,Rare,MI,No
Betrayal,2,7479,Common,VI,No
Blanket of Night,1,7481,Uncommon,VI,No
Breezekeeper,1,7489,Common,VI,No
Bull Elephant,1,7493,Common,VI,No
Cloud Elemental,2,7499,Common,VI,No
Creeping Mold,1,7507,Uncommon,VI,No
Dark Privilege,2,7513,Common,VI,No
Desolation,1,7519,Uncommon,VI,No
Dragon Mask,1,7525,Uncommon,VI,No
Dwarven Vigilantes,1,7529,Common,VI,No
Everglades,2,7541,Uncommon,VI,No
Eye of Singularity,1,7543,Rare,VI,No
Feral Instinct,1,7549,Common,VI,No
Freewind Falcon,1,7561,Common,VI,No
Funeral Charm,3,7563,Common,VI,No
Giant Caterpillar,2,7565,Common,VI,No
Goblin Swine-Rider,3,7569,Common,VI,No
Hearth Charm,1,7577,Common,VI,No
Honorable Passage,1,7583,Uncommon,VI,No
Hope Charm,1,7585,Common,VI,No
Impulse,3,7589,Common,VI,No
Infantry Veteran,2,7591,Common,VI,No
Infernal Harvest,2,7593,Common,VI,No
Inspiration,1,7595,Common,VI,No
Iron-Heart Chimera,2,7597,Uncommon,VI,No
Jamuraan Lion,3,7599,Common,VI,No
Juju Bubble,1,7601,Uncommon,VI,No
Karoo,2,7607,Uncommon,VI,No
Keeper of Kookus,3,7611,Common,VI,No
King Cheetah,1,7613,Common,VI,No
Knight of the Mists,2,7615,Common,VI,No
Knight of Valor,4,7617,Common,VI,No
Longbow Archer,2,7629,Uncommon,VI,No
Magma Mine,2,7631,Uncommon,VI,No
Man-o'-War,1,7633,Common,VI,No
Mortal Wound,1,7641,Common,VI,No
Mystic Veil,1,7645,Common,VI,No
Nekrataal,1,7653,Uncommon,VI,No
Parapet,4,7661,Common,VI,No
Peace Talks,4,7663,Uncommon,VI,No
Phyrexian Walker,1,7667,Common,VI,No
Python,1,7675,Common,VI,No
Raging Gorilla,1,7683,Common,VI,No
Remedy,1,7691,Common,VI,No
Resistance Fighter,1,7693,Common,VI,No
Righteous Aura,3,7697,Common,VI,No
River Boa,1,7702,Common,VI,Yes
Rock Slide,2,7703,Common,VI,No
Rowen,1,7705,Rare,VI,No
Shimmering Efreet,1,7711,Uncommon,VI,No
Shrieking Drake,1,7713,Common,VI,No
Sisay's Ring,1,7717,Common,VI,No
Song of Blood,2,7723,Common,VI,No
Spider Climb,1,7725,Common,VI,No
Sun Clasp,2,7737,Common,VI,No
Suq'Ata Assassin,2,7739,Uncommon,VI,No
Suq'Ata Lancer,2,7741,Common,VI,No
Talruum Champion,1,7743,Common,VI,No
Talruum Piper,1,7745,Uncommon,VI,No
Tar Pit Warrior,5,7747,Common,VI,No
Tempest Drake,3,7755,Uncommon,VI,No
Tremor,1,7765,Common,VI,No
Undo,1,7773,Common,VI,No
Vanishing,3,7781,Common,VI,No
Viashivan Dragon,1,7786,Rare,VI,Yes
Vision Charm,3,7787,Common,VI,No
Wake of Vultures,3,7789,Common,VI,No
Warrior's Honor,2,7793,Common,VI,No
Warthog,2,7795,Common,VI,No
Waterspout Djinn,1,7797,Uncommon,VI,No
Wicked Reward,4,7799,Common,VI,No
Island,1,9115,Land,PO,No
Jangling Automaton,1,9133,Common,WL,No
Mind Stone,1,9135,Common,WL,No
Zombie Scavengers,1,9137,Common,WL,No
Shadow Rider,4,9139,Common,WL,No
Fledgling Djinn,1,9141,Common,WL,No
Abyssal Gatekeeper,2,9143,Common,WL,No
Razortooth Rats,1,9145,Common,WL,No
Barrow Ghoul,3,9147,Common,WL,No
Fatal Blow,7,9149,Common,WL,No
Tendrils of Despair,1,9155,Common,WL,No
Shattered Crypt,2,9157,Common,WL,No
Coils of the Medusa,1,9159,Common,WL,No
Rogue Elephant,1,9161,Common,WL,No
Llanowar Druid,1,9163,Common,WL,No
Uktabi Efreet,3,9165,Common,WL,No
Redwood Treefolk,2,9167,Common,WL,No
Harvest Wurm,3,9173,Common,WL,No
Blossoming Wreath,2,9177,Common,WL,No
Vitalize,1,9179,Common,WL,No
Briar Shield,1,9181,Common,WL,No
Goblin Vandal,1,9187,Common,WL,No
Bogardan Firefiend,1,9193,Common,WL,No
Dwarven Berserker,2,9195,Common,WL,No
Cinder Wall,3,9197,Common,WL,No
Fit of Rage,2,9201,Common,WL,No
Thunderbolt,1,9205,Common,WL,No
Lava Storm,2,9207,Common,WL,No
Fog Elemental,2,9209,Common,WL,No
Merfolk Traders,1,9215,Common,WL,No
Manta Ray,1,9217,Common,WL,No
Abjure,2,9219,Common,WL,No
Phantom Wings,3,9221,Common,WL,No
Flux,2,9223,Common,WL,No
Tolarian Drake,2,9225,Common,WL,No
Mana Chains,1,9227,Common,WL,No
Apathy,2,9229,Common,WL,No
Disrupt,3,9231,Common,WL,No
Benalish Infantry,2,9233,Common,WL,No
Duskrider Falcon,1,9235,Common,WL,No
Ardent Militia,3,9237,Common,WL,No
Benalish Missionary,2,9241,Common,WL,No
Heavy Ballista,2,9243,Common,WL,No
Soul Shepherd,1,9245,Common,WL,No
Guided Strike,1,9247,Common,WL,No
Alms,4,9249,Common,WL,No
Kithkin Armor,2,9251,Common,WL,No
Angelic Renewal,2,9253,Common,WL,No
Infernal Tribute,1,9285,Rare,WL,No
Fungus Elemental,1,9291,Rare,WL,No
Maraxus of Keld,1,9309,Rare,WL,No
Alabaster Dragon,1,9341,Rare,WL,No
Southern Paladin,1,9349,Rare,WL,No
Steel Golem,1,9357,Uncommon,WL,No
Chimeric Sphere,1,9365,Uncommon,WL,No
Phyrexian Furnace,1,9367,Uncommon,WL,No
Dingus Staff,1,9369,Uncommon,WL,No
Thran Forge,2,9373,Uncommon,WL,No
Hidden Horror,1,9377,Uncommon,WL,No
Strands of Night,2,9379,Uncommon,WL,No
Downdraft,1,9403,Uncommon,WL,No
Nature's Kiss,2,9409,Common,WL,No
Cinder Giant,2,9415,Uncommon,WL,No
Sawtooth Ogre,1,9423,Common,WL,No
Cone of Flame,1,9425,Uncommon,WL,No
Timid Drake,1,9431,Uncommon,WL,No
Vodalian Illusionist,1,9433,Uncommon,WL,No
Noble Benefactor,1,9435,Uncommon,WL,No
Phantom Warrior,3,9437,Uncommon,WL,No
Relearn,1,9439,Uncommon,WL,No
Revered Unicorn,2,9449,Uncommon,WL,No
Mistmoon Griffin,1,9451,Uncommon,WL,No
Volunteer Reserves,1,9453,Uncommon,WL,No
Foriysian Brigade,2,9455,Uncommon,WL,No
Serra's Blessing,1,9463,Uncommon,WL,No
Manakin,1,9467,Common,TE,No
Coiled Tinviper,1,9469,Common,TE,No
Squee's Toy,1,9471,Common,TE,No
Metallic Sliver,1,9473,Common,TE,No
Dauthi Marauder,1,9477,Common,TE,No
Dauthi Horror,3,9479,Common,TE,No
Dauthi Slayer,1,9481,Common,TE,No
Blood Pet,2,9483,Common,TE,No
Rats of Rath,3,9485,Common,TE,No
Darkling Stalker,1,9487,Common,TE,No
Servant of Volrath,3,9489,Common,TE,No
Gravedigger,5,9491,Common,TE,No
Marsh Lurker,1,9493,Common,TE,No
Clot Sliver,2,9495,Common,TE,No
Pit Imp,2,9497,Common,TE,No
Spinal Graft,2,9501,Common,TE,No
Enfeeblement,3,9503,Common,TE,No
Disturbed Burial,1,9505,Common,TE,No
Coercion,3,9507,Common,TE,No
Evincar's Justice,1,9509,Common,TE,No
Dark Ritual,2,9513,Common,TE,No
Skyshroud Troll,2,9519,Common,TE,No
Rootbreaker Wurm,4,9521,Common,TE,No
Skyshroud Ranger,3,9525,Common,TE,No
Rootwalla,1,9531,Common,TE,No
Skyshroud Elf,3,9535,Common,TE,No
Canopy Spider,2,9537,Common,TE,No
Trained Armodon,1,9539,Common,TE,No
Spike Drone,3,9541,Common,TE,No
Heartwood Dryad,1,9543,Common,TE,No
Frog Tongue,1,9545,Common,TE,No
Tranquility,3,9549,Common,TE,No
Natural Spring,1,9553,Common,TE,No
Lowland Giant,3,9563,Common,TE,No
Flowstone Giant,3,9565,Common,TE,No
Wall of Diffusion,4,9567,Common,TE,No
Lightning Elemental,2,9569,Common,TE,No
Mogg Raider,2,9575,Common,TE,No
Mogg Fanatic,1,9577,Common,TE,No
Fireslinger,1,9581,Common,TE,No
Stone Rain,1,9583,Common,TE,No
Kindle,2,9587,Common,TE,No
Crown of Flames,1,9589,Common,TE,No
Giant Strength,2,9591,Common,TE,No
Lightning Blast,2,9593,Common,TE,No
Rolling Thunder,3,9595,Common,TE,No
Shatter,3,9599,Common,TE,No
Blood Frenzy,1,9601,Common,TE,No
Thalakos Sentry,1,9603,Common,TE,No
Thalakos Mistfolk,3,9605,Common,TE,No
Thalakos Seer,3,9607,Common,TE,No
Rootwater Hunter,3,9609,Common,TE,No
Horned Turtle,3,9611,Common,TE,No
Winged Sliver,2,9613,Common,TE,No
Wind Drake,3,9615,Common,TE,No
Sea Monster,4,9617,Common,TE,No
Giant Crab,4,9619,Common,TE,No
Manta Riders,4,9621,Common,TE,No
Gaseous Form,2,9623,Common,TE,No
Shimmering Wings,1,9625,Common,TE,No
Dream Cache,3,9627,Common,TE,No
Counterspell,2,9631,Common,TE,No
Spell Blast,4,9633,Common,TE,No
Twitch,2,9635,Common,TE,No
Shadow Rift,1,9637,Common,TE,No
Time Ebb,2,9639,Common,TE,No
Capsize,4,9641,Common,TE,No
Volrath's Curse,2,9643,Common,TE,No
Cloudchaser Eagle,5,9651,Common,TE,No
Armored Pegasus,1,9653,Common,TE,No
Mounted Archers,2,9655,Common,TE,No
Clergy en-Vec,1,9659,Common,TE,No
Master Decoy,1,9665,Common,TE,No
Disenchant,1,9667,Common,TE,No
Circle of Protection: White,1,9669,Common,TE,No
Circle of Protection: Blue,1,9671,Common,TE,No
Circle of Protection: Black,4,9673,Common,TE,No
Circle of Protection: Red,1,9675,Common,TE,No
Circle of Protection: Green,1,9677,Common,TE,No
Circle of Protection: Shadow,1,9679,Common,TE,No
Anoint,1,9681,Common,TE,No
Pacifism,1,9683,Common,TE,No
Mountain,1,9714,Land,TE,Yes
Fool's Tome,1,9731,Rare,TE,No
Emmessi Tome,1,9749,Rare,TE,No
Fevered Convulsions,1,9803,Rare,TE,No
Crazed Armodon,1,9809,Rare,TE,No
Benthic Behemoth,1,9881,Rare,TE,No
Ertai's Meddling,1,9901,Rare,TE,No
Watchdog,1,9949,Uncommon,TE,No
Mogg Cannon,2,9957,Uncommon,TE,No
Dauthi Ghoul,1,9967,Uncommon,TE,No
Skyshroud Vampire,2,9973,Uncommon,TE,No
Souldrinker,1,9977,Uncommon,TE,No
Leeching Licid,1,9981,Uncommon,TE,No
Screeching Harpy,1,9983,Uncommon,TE,No
Abandon Hope,1,9991,Uncommon,TE,No
Dread of Night,1,9995,Uncommon,TE,No
Reckless Spite,2,9997,Uncommon,TE,No
Flailing Drake,1,10013,Uncommon,TE,No
Nurturing Licid,1,10017,Uncommon,TE,No
Reap,1,10019,Uncommon,TE,No
Verdigris,1,10021,Uncommon,TE,No
Winter's Grasp,1,10027,Uncommon,TE,No
Needle Storm,1,10029,Uncommon,TE,No
Cinder Marsh,1,10049,Uncommon,TE,No
Jackal Pup,2,10063,Uncommon,TE,No
Barbed Sliver,1,10069,Uncommon,TE,No
Boil,1,10083,Uncommon,TE,No
Skyshroud Condor,1,10089,Uncommon,TE,No
Steal Enchantment,3,10107,Uncommon,TE,No
Legacy's Allure,4,10109,Uncommon,TE,No
Whispers of the Muse,2,10111,Uncommon,TE,No
Legerdemain,1,10113,Uncommon,TE,No
Dismiss,1,10115,Uncommon,TE,No
Insight,2,10119,Uncommon,TE,No
Chill,1,10121,Uncommon,TE,No
Soltari Monk,1,10125,Uncommon,TE,No
Armor Sliver,1,10129,Uncommon,TE,No
Warmth,2,10139,Uncommon,TE,No
Gallantry,1,10145,Uncommon,TE,No
Lobotomy,1,10159,Uncommon,TE,No
Spontaneous Combustion,1,10161,Uncommon,TE,No
Segmented Wurm,1,10163,Uncommon,TE,No
Mogg Bombers,5,10167,Common,ST,No
Mogg Flunkies,2,10169,Common,ST,No
Mob Justice,3,10171,Common,ST,No
Crovax the Cursed,1,10177,Rare,ST,No
Awakening,1,10185,Rare,ST,No
Bandage,1,10187,Common,ST,No
Bottomless Pit,1,10189,Uncommon,ST,No
Brush with Death,3,10191,Common,ST,No
Bullwhip,3,10193,Uncommon,ST,No
Cannibalize,5,10199,Common,ST,No
Change of Heart,5,10203,Common,ST,No
Cloud Spirit,7,10205,Common,ST,No
Constant Mists,4,10207,Uncommon,ST,No
Contemplation,1,10211,Uncommon,ST,No
Contempt,4,10213,Common,ST,No
Conviction,4,10215,Common,ST,No
Corrupting Licid,1,10217,Uncommon,ST,No
Craven Giant,3,10221,Common,ST,No
Crossbow Ambush,4,10223,Common,ST,No
Dauthi Trapper,1,10227,Uncommon,ST,No
Death Stroke,8,10231,Common,ST,No
Scapegoat,4,10233,Uncommon,ST,No
Dream Prowler,4,10235,Common,ST,No
Duct Crawler,2,10237,Common,ST,No
Dungeon Shade,4,10239,Common,ST,No
Shock,2,10241,Common,ST,No
Elven Rite,1,10243,Uncommon,ST,No
Endangered Armodon,5,10245,Common,ST,No
Flame Wave,2,10253,Uncommon,ST,No
Fling,1,10255,Common,ST,No
Flowstone Blade,2,10257,Common,ST,No
Flowstone Hellion,1,10259,Uncommon,ST,No
Flowstone Shambler,2,10265,Common,ST,No
Foul Imp,3,10267,Common,ST,No
Furnace Spirit,2,10269,Common,ST,No
Gliding Licid,2,10271,Uncommon,ST,No
Hammerhead Shark,5,10273,Common,ST,No
Heartstone,1,10275,Uncommon,ST,No
Hesitation,3,10281,Uncommon,ST,No
Hibernation Sliver,1,10283,Uncommon,ST,No
Honor Guard,3,10287,Common,ST,No
Hornet Cannon,1,10291,Uncommon,ST,No
Intruder Alarm,4,10293,Rare,ST,No
Invasion Plans,1,10295,Rare,ST,No
Lab Rats,4,10299,Common,ST,No
Lancers en-Kor,2,10301,Uncommon,ST,No
Leap,3,10303,Common,ST,No
Lowland Basilisk,3,10305,Common,ST,No
Mana Leak,5,10307,Common,ST,No
Mask of the Mimic,1,10309,Uncommon,ST,No
Mindwarper,2,10317,Rare,ST,No
Morgue Thrull,2,10321,Common,ST,No
Mulch,2,10327,Common,ST,No
Tortured Existence,5,10329,Common,ST,No
Overgrowth,5,10333,Common,ST,No
Portcullis,1,10335,Rare,ST,No
Rabid Rats,3,10341,Common,ST,No
Ransack,1,10343,Uncommon,ST,No
Rebound,3,10345,Uncommon,ST,No
Revenant,1,10349,Rare,ST,No
Sacred Ground,1,10355,Rare,ST,No
Serpent Warrior,4,10363,Common,ST,No
Shifting Wall,3,10367,Uncommon,ST,No
Sift,6,10369,Common,ST,No
Skyshroud Falcon,1,10371,Common,ST,No
Skyshroud Archer,3,10375,Common,ST,No
Smite,4,10381,Common,ST,No
Spirit en-Kor,3,10385,Common,ST,No
Spike Colony,2,10389,Common,ST,No
Spike Soldier,1,10393,Uncommon,ST,No
Spike Worker,4,10395,Common,ST,No
Spindrift Drake,1,10397,Common,ST,No
Spined Wurm,4,10399,Common,ST,No
Stronghold Assassin,3,10403,Rare,ST,No
Temper,1,10407,Uncommon,ST,No
Tidal Surge,2,10413,Common,ST,No
Tidal Warrior,3,10415,Common,ST,No
Venerable Monk,4,10419,Common,ST,No
Volrath's Shapeshifter,1,10427,Rare,ST,No
Walking Dream,2,10431,Uncommon,ST,No
Wall of Blossoms,1,10433,Uncommon,ST,No
Wall of Essence,1,10435,Uncommon,ST,No
Wall of Razors,3,10437,Uncommon,ST,No
Wall of Souls,4,10439,Uncommon,ST,No
Wall of Tears,2,10441,Uncommon,ST,No
Warrior en-Kor,1,10445,Uncommon,ST,No
Youthful Knight,2,10447,Common,ST,No
Nomads en-Kor,4,10451,Common,ST,No
Fugue,3,10461,Uncommon,EX,No
Null Brooch,1,10465,Rare,EX,No
Fighting Chance,1,10467,Rare,EX,No
Mirozel,1,10469,Uncommon,EX,No
Plaguebearer,1,10473,Rare,EX,No
Plated Rootwalla,4,10475,Common,EX,No
Shattering Pulse,1,10479,Common,EX,No
Skyshaper,1,10481,Uncommon,EX,No
Skyshroud Elite,1,10483,Uncommon,EX,No
Wayward Soul,1,10487,Common,EX,No
Theft of Dreams,2,10489,Common,EX,No
Exalted Dragon,1,10491,Rare,EX,No
Keeper of the Mind,1,10493,Uncommon,EX,No
Ephemeron,1,10495,Rare,EX,No
Aether Tide,4,10503,Common,EX,No
Mana Breach,1,10505,Uncommon,EX,No
Charging Paladin,5,10507,Common,EX,No
Standing Troops,5,10511,Common,EX,No
School of Piranha,3,10513,Common,EX,No
Rabid Wolverines,4,10515,Common,EX,No
Avenging Druid,3,10517,Common,EX,No
"Mirri, Cat Warrior",1,10521,Rare,EX,No
Dizzying Gaze,4,10523,Common,EX,No
Raging Goblin,1,10529,Common,EX,No
Sonic Burst,2,10531,Common,EX,No
Shield Mate,2,10535,Common,EX,No
Peace of Mind,2,10537,Uncommon,EX,No
Soltari Visionary,3,10539,Common,EX,No
Dauthi Jackal,4,10543,Common,EX,No
Penance,1,10545,Uncommon,EX,No
Keeper of the Flame,2,10549,Uncommon,EX,No
Spike Cannibal,1,10553,Uncommon,EX,No
Allay,3,10555,Common,EX,No
Wood Elves,5,10557,Common,EX,No
Resuscitate,2,10559,Uncommon,EX,No
Necrologia,4,10561,Uncommon,EX,No
Scare Tactics,2,10567,Common,EX,No
Equilibrium,1,10569,Rare,EX,No
Furnace Brood,2,10571,Common,EX,No
Bequeathal,3,10573,Common,EX,No
Cat Burglar,3,10575,Common,EX,No
Song of Serenity,2,10577,Uncommon,EX,No
Workhorse,1,10579,Rare,EX,No
Medicine Bag,1,10581,Uncommon,EX,No
Recurring Nightmare,1,10583,Rare,EX,No
Cartographer,3,10585,Uncommon,EX,No
Shackles,2,10587,Common,EX,No
Scrivener,2,10589,Uncommon,EX,No
Reconnaissance,1,10591,Uncommon,EX,No
Curiosity,1,10593,Uncommon,EX,No
Nausea,4,10595,Common,EX,No
Volrath's Dungeon,1,10597,Rare,EX,No
Reaping the Rewards,3,10599,Common,EX,No
Death's Duet,2,10601,Common,EX,No
Sabertooth Wyvern,1,10605,Uncommon,EX,No
Paroxysm,1,10611,Uncommon,EX,No
Reclaim,4,10613,Common,EX,No
Rootwater Alligator,3,10617,Common,EX,No
Grollub,14,10621,Common,EX,No
Soul Warden,2,10625,Common,EX,No
Thrull Surgeon,2,10631,Common,EX,No
High Ground,2,10635,Uncommon,EX,No
Welkin Hawk,1,10637,Common,EX,No
Kor Chant,3,10639,Common,EX,No
Robe of Mirrors,3,10641,Common,EX,No
Mind Maggots,2,10647,Uncommon,EX,No
Entropic Specter,2,10649,Rare,EX,No
Jackalope Herd,2,10651,Common,EX,No
Crashing Boars,2,10653,Uncommon,EX,No
Carnophage,3,10655,Common,EX,No
Slaughter,2,10657,Uncommon,EX,No
Keeper of the Light,2,10659,Uncommon,EX,No
Pygmy Troll,1,10661,Common,EX,No
Merfolk Looter,4,10663,Common,EX,No
Cursed Flesh,4,10665,Common,EX,No
Whiptongue Frog,5,10669,Common,EX,No
Rootwater Mystic,4,10671,Common,EX,No
Treasure Trove,1,10673,Uncommon,EX,No
Cunning,2,10679,Common,EX,No
Vampire Hounds,6,10681,Common,EX,No
Dauthi Warlord,1,10683,Uncommon,EX,No
Angelic Blessing,5,10687,Common,EX,No
Elven Palisade,1,10691,Uncommon,EX,No
Zealots en-Dal,4,10693,Uncommon,EX,No
Keeper of the Dead,2,10695,Uncommon,EX,No
Anarchist,3,10701,Common,EX,No
Predatory Hunger,1,10703,Common,EX,No
Maniacal Rage,2,10707,Common,EX,No
Dauthi Cutthroat,2,10711,Uncommon,EX,No
Mogg Assassin,1,10713,Uncommon,EX,No
Culling the Weak,5,10719,Common,EX,No
Fade Away,2,10723,Common,EX,No
Reckless Ogre,1,10727,Common,EX,No
Flowstone Flood,2,10731,Uncommon,EX,No
Elvish Berserker,1,10734,Common,EX,Yes
Thalakos Scout,3,10735,Common,EX,No
Crazed Skirge,1,11769,Uncommon,UZ,No
Chimeric Staff,1,11775,Rare,UZ,No
Lightning Dragon,1,11781,Rare,UZ,No
Sanctum Guardian,1,11787,Uncommon,UZ,No
Opal Acrolith,1,11791,Uncommon,UZ,No
Argothian Wurm,1,11795,Rare,UZ,No
Disruptive Student,2,11799,Common,UZ,No
Despondency,3,11803,Common,UZ,No
Enchantment Alteration,1,11807,Uncommon,UZ,No
Pouncing Jaguar,1,11827,Common,UZ,No
Monk Realist,4,11831,Common,UZ,No
Hidden Ancients,1,11834,Uncommon,UZ,Yes
Zephid's Embrace,1,11837,Uncommon,UZ,No
Fortitude,2,11841,Common,UZ,No
Hidden Spider,2,11847,Common,UZ,No
Opal Caryatid,2,11875,Common,UZ,No
Catalog,1,11879,Common,UZ,No
Blasted Landscape,1,11883,Uncommon,UZ,No
Dromosaur,2,11885,Common,UZ,No
Viashino Outrider,2,11887,Common,UZ,No
Remote Isle,1,11889,Common,UZ,No
Bog Raiders,6,11899,Common,UZ,No
Unworthy Dead,1,11905,Common,UZ,No
Goblin Offensive,1,11915,Uncommon,UZ,No
Polluted Mire,1,11927,Common,UZ,No
Goblin Spelunkers,1,11943,Common,UZ,No
Serra Zealot,1,11945,Common,UZ,No
Goblin War Buggy,1,11951,Common,UZ,No
Winding Wurm,1,11953,Common,UZ,No
Goblin Matron,1,11957,Common,UZ,No
Peregrine Drake,1,11967,Uncommon,UZ,No
Shiv's Embrace,1,11971,Uncommon,UZ,No
Drifting Meadow,1,11973,Common,UZ,No
Veiled Serpent,3,11977,Common,UZ,No
Fiery Mantle,1,11979,Common,UZ,No
Crosswinds,1,11983,Uncommon,UZ,No
Argothian Swine,2,11985,Common,UZ,No
Citanul Hierophants,1,11989,Rare,UZ,No
Corrupt,2,11993,Common,UZ,No
Reclusive Wight,1,11995,Uncommon,UZ,No
Rune of Protection: Black,2,12003,Common,UZ,No
Rune of Protection: Blue,3,12005,Common,UZ,No
Rune of Protection: Green,1,12007,Common,UZ,No
Rune of Protection: Red,2,12009,Common,UZ,No
Rune of Protection: White,1,12011,Common,UZ,No
Diabolic Servitude,1,12013,Uncommon,UZ,No
Rune of Protection: Artifacts,1,12015,Uncommon,UZ,No
Fire Ants,1,12017,Uncommon,UZ,No
Dark Ritual,2,12019,Common,UZ,No
Elvish Herder,3,12021,Common,UZ,No
Stern Proctor,2,12027,Uncommon,UZ,No
Pacifism,1,12031,Common,UZ,No
Faith Healer,2,12035,Rare,UZ,No
Brilliant Halo,4,12039,Common,UZ,No
Disenchant,2,12045,Common,UZ,No
Arc Lightning,2,12065,Common,UZ,No
Serra's Hymn,1,12071,Uncommon,UZ,No
Silent Attendant,4,12075,Common,UZ,No
Elvish Lyrist,3,12077,Common,UZ,No
Angelic Page,1,12079,Common,UZ,No
Hush,1,12081,Common,UZ,No
Priest of Titania,1,12083,Common,UZ,No
Claws of Gix,1,12091,Uncommon,UZ,No
Fertile Ground,2,12099,Common,UZ,No
Imaginary Pet,1,12105,Rare,UZ,No
Healing Salve,2,12109,Common,UZ,No
Befoul,1,12117,Common,UZ,No
Treetop Rangers,1,12119,Common,UZ,No
Yawgmoth's Edict,1,12129,Uncommon,UZ,No
Lurking Evil,1,12137,Rare,UZ,No
Cloak of Mists,1,12145,Common,UZ,No
Energy Field,1,12153,Rare,UZ,No
